"";"Observation.No";"Observed.y";"Predicted.y"
"480";2742;3;1
"1835";343;3;1
"1235";1141;1;1
"818";112;1;1
"991";218;3;3
"3018";2092;2;1
"2232";2422;3;3
"2297";731;1;1
"1778";1377;2;1
"313";896;3;3
"212";2585;3;3
"1112";3046;2;1
"1832";340;1;1
"617";951;1;1
"2241";2423;1;1
"614";413;1;1
"3031";174;1;1
"1863";191;3;3
"191";1996;1;1
"1188";2490;3;1
"510";1798;3;1
"158";1761;1;1
"1398";792;3;1
"84";1252;1;1
"600";1519;3;3
"1667";1216;2;3
"963";1128;1;1
"1808";2207;3;3
"1354";2976;1;1
"2655";736;2;1
"1115";2447;3;1
"1984";1814;3;3
"1852";1673;1;1
"2258";1746;2;1
"984";2359;1;3
"2552";2128;3;3
"2819";2304;3;1
"676";180;3;3
"954";2283;1;3
"2371";661;1;1
"441";2556;2;1
"2980";2687;1;1
"2259";260;3;1
"1346";152;1;1
"2066";726;2;3
"1179";3091;1;1
"2377";2373;1;3
"30";476;3;3
"735";952;2;1
"1716";1367;1;1
"2250";2349;2;1
"3035";178;2;3
"1965";2713;3;3
"2224";210;2;1
"2185";238;3;1
"1024";784;3;1
"2056";1698;3;1
"599";2513;3;1
"874";783;1;1
"2172";1841;3;3
"1650";1713;1;1
"2985";2691;3;1
"697";581;1;1
"2086";2927;1;1
"940";4;1;1
"2187";240;2;3
"1326";963;3;3
"1437";2794;2;1
"781";1647;2;3
"1656";2289;1;1
"2091";2928;1;3
"2280";2211;2;1
"2787";2858;2;1
"654";278;2;1
"1022";1288;3;3
"284";1900;2;1
"1185";2107;3;3
"1773";1372;1;3
"678";2002;2;1
"2660";3007;3;1
"1538";2245;2;1
"2632";326;1;1
"3060";2437;1;1
"3013";646;3;3
"985";2360;2;1
"1378";45;1;3
"2054";1696;3;1
"1685";2909;1;3
"836";2157;2;1
"2524";776;3;3
"386";820;3;3
"450";1470;3;1
"2863";2647;1;3
"103";1259;3;3
"1270";927;1;1
"14";1305;2;1
"3090";2309;1;1
"667";391;2;3
"2602";1469;3;1
"997";221;2;1
"1643";3098;2;1
"2661";3065;1;1
"1082";2893;1;1
"1365";32;1;1
"1692";2337;2;1
"162";16;1;1
"1522";2492;3;1
"524";2799;1;3
"99";506;1;3
"704";1281;1;3
"2015";2838;1;3
"1167";789;2;1
"937";2161;1;1
"1348";154;3;3
"1093";2897;1;1
"2439";1058;1;1
"2611";2682;2;1
"1540";290;1;1
"235";657;1;1
"278";1914;3;1
"1123";288;3;3
"1541";2040;1;3
"1020";1286;1;1
"1663";805;2;1
"2498";2051;3;3
"1855";2922;1;1
"2562";1221;1;3
"2560";3125;2;1
"1943";1808;1;1
"2234";538;3;3
"369";1778;3;1
"733";2032;3;3
"1921";2340;3;1
"1088";2074;2;1
"2306";1948;1;1
"2921";1325;3;3
"86";500;1;3
"2179";832;3;1
"1316";1474;3;3
"3084";468;1;1
"2378";2374;3;1
"3138";265;1;1
"1258";520;3;3
"2620";2300;1;3
"3046";1704;3;1
"1891";3033;2;3
"2776";1891;3;1
"395";2664;1;1
"1882";3078;2;3
"1735";750;1;1
"2948";3099;3;1
"2872";1825;2;1
"1234";2534;1;1
"1842";2918;1;1
"966";1562;1;1
"2239";543;1;1
"2617";2434;2;1
"2242";1966;2;1
"1768";615;3;1
"2087";2546;1;1
"2197";1742;3;1
"1504";590;2;1
"2698";2509;3;1
"2400";1878;3;3
"2331";935;2;1
"1817";1863;2;1
"397";1784;3;3
"1023";1000;2;3
"1417";205;3;3
"775";2358;1;1
"2266";2295;1;1
"2";977;1;1
"1134";745;3;3
"2128";2673;1;1
"1926";2471;1;1
"2090";2475;3;1
"1100";2667;3;1
"2564";1223;3;1
"1779";1378;2;3
"2965";466;3;3
"412";2184;1;1
"3047";1705;1;1
"1242";2947;1;1
"489";3085;1;1
"1642";591;2;1
"876";1603;2;3
"323";351;3;3
"1523";2493;2;1
"482";249;1;3
"2103";1195;1;1
"891";1472;1;1
"3062";2485;3;1
"3032";175;2;3
"2074";208;1;3
"2112";867;1;1
"21";474;2;1
"58";1248;2;1
"526";137;1;3
"1161";1838;3;3
"964";1129;2;3
"1887";2620;1;1
"725";108;2;1
"1073";3045;2;1
"750";2324;2;3
"2395";640;1;1
"3125";1304;2;3
"2802";168;1;1
"387";1;2;3
"315";898;3;1
"1201";2588;1;3
"2497";757;3;3
"2742";2057;1;1
"602";2746;3;1
"2208";1909;1;1
"1293";2811;2;3
"2672";777;3;3
"1110";2260;3;1
"2034";2842;2;1
"1231";63;3;1
"2283";1485;2;3
"2714";2551;2;1
"2461";3122;2;1
"1806";2205;2;3
"925";2755;2;1
"2401";1879;3;1
"3072";1717;2;1
"2322";402;1;1
"2177";2266;1;3
"142";2963;1;1
"1859";2017;3;1
"53";1245;1;1
"870";780;3;1
"1866";1345;1;1
"3063";1156;3;3
"2160";1537;1;3
"2614";1488;2;1
"1593";1166;3;3
"1772";1371;3;1
"1596";398;3;1
"780";1646;2;1
"286";1902;1;1
"2838";2642;1;1
"87";501;1;1
"1462";334;3;3
"2336";2083;2;3
"898";1359;1;1
"1533";2014;1;1
"2673";3089;1;1
"1935";449;3;3
"2793";547;1;1
"897";1358;1;1
"2373";1513;1;1
"2740";597;3;1
"1200";1105;3;1
"3102";2581;1;1
"952";2443;1;3
"1341";259;1;1
"873";782;2;1
"1225";2109;3;1
"1248";2810;1;1
"2057";1699;1;3
"971";2328;3;1
"17";1060;3;1
"2111";866;2;1
"25";487;2;1
"926";2756;2;1
"2067";727;3;3
"2522";1885;3;1
"2598";68;2;1
"950";2138;1;1
"1594";72;2;3
"2235";539;3;1
"2368";2767;3;1
"1081";2892;3;1
"454";671;3;1
"1529";610;3;3
"2684";2938;3;1
"502";274;1;3
"990";2010;3;3
"3118";1136;3;3
"2505";2524;2;1
"766";997;1;1
"1774";1373;1;3
"2007";1736;3;1
"645";1280;2;3
"2271";1057;1;1
"2800";2090;1;1
"1033";1289;3;3
"1336";2453;2;1
"2079";1940;3;1
"782";1648;3;1
"1794";2913;1;1
"2184";237;3;1
"846";582;2;1
"190";1453;2;1
"2636";213;1;3
"2163";1840;3;3
"1058";2704;2;1
"548";2187;3;1
"2927";329;1;1
"1353";2516;2;3
"2324";2720;1;1
"1688";2539;2;1
"2450";618;1;1
"355";2379;3;3
"2890";1350;2;1
"1603";1855;1;1
"268";409;3;1
"729";2065;3;3
"334";902;1;1
"2104";3005;1;1
"2075";209;3;1
"2966";2790;3;3
"1128";2194;1;1
"259";2487;3;1
"2043";1110;1;1
"2189";242;1;1
"2939";2775;2;1
"2862";2646;2;1
"1758";2911;1;3
"933";2105;3;3
"565";2559;2;3
"177";1995;3;1
"1254";516;2;3
"2176";2265;3;1
"1178";1075;3;1
"2530";459;2;1
"108";1982;1;3
"492";384;1;3
"1660";88;3;1
"813";418;3;3
"312";81;2;1
"2014";2837;3;3
"2026";1690;1;1
"1825";1535;2;3
"1114";2446;1;1
"2376";2372;3;1
"722";1708;1;1
"833";184;3;1
"1756";1507;3;3
"19";1061;3;1
"1047";561;2;3
"2736";3008;2;1
"2650";194;1;1
"1570";2288;2;1
"362";1180;3;1
"1862";190;1;3
"1410";2818;2;3
"2382";850;1;1
"1707";1665;1;1
"512";1020;1;3
"418";1597;1;1
"1044";1921;1;3
"1988";1509;3;3
"2046";2520;2;1
"1508";648;1;1
"2326";1950;3;3
"299";127;2;1
"1651";2711;3;1
"2953";2306;1;3
"1549";2991;3;1
"507";2878;3;1
"2514";1219;1;3
"6";983;1;1
"742";2974;3;1
"1792";2783;1;1
"1131";2197;3;1
"298";126;1;1
"934";1120;2;1
"659";3106;1;1
"1951";809;1;1
"1775";1374;2;1
"2805";171;3;3
"2716";1753;2;1
"1414";2141;3;3
"7";2151;1;3
"2468";1956;1;3
"1377";44;1;1
"2521";1884;3;1
"2988";2356;3;3
"2354";1395;2;1
"1349";155;1;1
"281";1897;1;1
"949";2009;1;1
"2159";2716;3;1
"517";1025;1;1
"2157";2714;2;1
"1587";720;1;1
"2309";834;1;1
"1706";1664;3;3
"227";742;3;1
"527";138;1;3
"1027";2404;1;1
"2647";193;2;1
"1788";440;3;3
"1621";364;1;1
"505";2031;2;3
"2051";2545;2;1
"2100";532;1;1
"1476";2901;1;1
"856";556;1;1
"865";1523;2;1
"1941";2368;3;1
"2971";688;2;1
"1451";2820;2;3
"884";628;2;3
"700";143;1;1
"2962";2148;1;1
"1713";227;1;1
"1468";633;3;3
"686";2881;3;1
"1699";3055;1;1
"1715";1366;3;3
"145";2964;1;1
"1065";2242;2;3
"317";1626;3;1
"1395";791;3;3
"868";779;1;1
"903";19;2;3
"2518";2269;1;1
"2229";1539;3;3
"2695";2273;2;1
"638";2562;1;3
"1610";1533;3;3
"416";627;1;1
"1226";2601;3;1
"1670";73;3;3
"1052";1530;2;1
"1453";2822;1;3
"798";801;1;1
"1982";1812;2;1
"2107";1481;2;3
"271";197;3;3
"2115";2248;1;1
"2651";195;1;1
"463";1457;2;1
"2947";2591;1;1
"2276";871;3;3
"257";1228;1;3
"1723";1861;1;1
"1394";790;2;1
"881";585;1;1
"2657";2577;3;3
"1153";1721;2;1
"807";1650;1;1
"1969";1007;1;3
"2821";123;1;3
"208";701;3;3
"2447";2583;3;1
"1491";160;2;1
"1616";1663;1;1
"147";979;2;1
"1135";2532;3;3
"207";739;3;1
"1777";1376;1;1
"1465";1233;3;3
"2546";1173;3;3
"1106";23;2;1
"2829";1227;3;3
"2421";1820;2;3
"2766";2481;2;1
"2627";93;2;3
"2481";1349;3;3
"1968";1006;1;1
"2102";1194;2;1
"636";993;2;3
"672";1306;2;1
"669";2726;2;3
"1069";1464;3;3
"923";2753;3;1
"1582";862;1;3
"2558";735;1;1
"1780";1379;3;1
"2963";2149;1;1
"2088";300;3;1
"1558";3002;1;1
"2213";2979;1;1
"121";1587;3;3
"2738";622;1;3
"1381";1927;3;3
"1601";1853;3;1
"2345";1749;1;1
"2167";2675;3;1
"38";1063;3;1
"1273";1362;3;1
"802";1205;1;3
"1265";2568;3;1
"972";2329;2;1
"186";58;3;1
"1828";336;2;1
"1238";922;3;1
"1333";748;3;3
"1202";1846;1;1
"2452";2050;3;3
"1359";3050;3;3
"2129";2344;1;1
"2925";2145;1;3
"3119";1408;3;1
"1446";892;3;3
"894";372;1;3
"2567";2479;1;1
"849";2515;2;3
"583";992;1;1
"2390";2214;1;1
"1553";2905;1;1
"2591";76;1;1
"337";2027;3;3
"430";2029;1;1
"3131";2528;1;3
"1175";847;2;1
"1066";1923;2;3
"823";117;3;3
"392";2661;1;3
"3117";601;3;1
"2501";1319;1;1
"373";2596;1;1
"829";1033;1;1
"3059";2792;2;1
"1701";2389;3;3
"3061";2484;2;3
"2760";544;1;1
"1382";1928;1;3
"238";744;3;3
"1358";1658;2;1
"2739";70;2;1
"2298";2020;1;1
"705";1833;3;3
"426";1636;1;1
"2875";1827;3;3
"2122";318;2;1
"1892";365;1;1
"3003";765;2;3
"1638";2415;2;1
"1098";2780;1;3
"1661";89;3;3
"51";1974;3;3
"2531";460;3;1
"2956";1094;3;1
"2510";1750;2;3
"2133";2346;3;3
"995";219;1;3
"2216";730;1;1
"3410";3114;3;1
"2188";241;3;1
"2256";2851;3;1
"648";3029;1;1
"2021";2575;3;3
"2204";1086;3;3
"1531";1334;1;1
"1796";2834;2;1
"1218";2809;1;1
"1830";338;1;3
"1357";1657;1;1
"231";714;3;3
"893";1918;2;1
"635";2561;2;1
"439";950;3;3
"1244";425;2;3
"2467";3063;1;1
"1296";2899;1;1
"1691";2540;3;3
"2237";541;1;3
"2338";2084;3;3
"1507";795;1;1
"1717";2955;3;3
"349";906;1;1
"1613";1234;1;1
"1103";2670;1;1
"1927";2729;1;3
"1031";2807;3;1
"1608";1082;2;1
"1334";2451;1;1
"763";2777;2;1
"2170";1054;1;1
"1480";1132;1;3
"982";3000;1;1
"1071";2409;1;1
"169";1766;2;1
"1036";770;1;3
"2773";2578;3;1
"2697";2508;1;1
"408";1795;3;3
"1876";652;3;3
"593";2063;1;1
"1450";2013;3;3
"2011";2418;1;1
"710";2381;2;3
"31";477;1;1
"1567";2830;1;1
"1";1969;3;3
"226";656;3;1
"1342";1214;2;3
"188";60;1;3
"2186";239;3;3
"333";901;1;3
"2327";1951;3;1
"1645";2954;3;1
"1947";1381;1;1
"948";2008;1;1
"3095";1135;1;3
"2457";2680;2;1
"1208";258;1;1
"493";884;1;1
"2022";450;2;3
"249";663;3;3
"1622";1083;1;3
"832";183;1;1
"2709";1341;1;1
"2383";851;3;3
"1456";2825;3;1
"2169";1053;1;1
"375";1779;1;1
"1566";2829;1;1
"2145";2077;1;1
"2812";2636;3;3
"680";2004;1;1
"26";488;3;1
"1625";1931;3;1
"170";1767;3;1
"1404";1333;1;1
"1583";1807;3;1
"2735";1888;1;3
"1673";293;2;1
"1732";439;1;1
"184";56;2;1
"1213";915;1;1
"2741";2723;2;1
"875";1602;1;1
"22";1970;2;3
"154";51;1;1
"2095";3060;1;1
"2592";77;3;3
"3113";1584;2;1
"221";708;3;1
"2409";877;3;1
"1190";1730;2;3
"2704";2233;3;3
"41";1242;1;1
"2761";545;1;1
"670";2727;1;1
"3133";2254;1;1
"1074";787;1;1
"382";2396;3;1
"2171";3113;2;1
"187";59;1;1
"1857";2924;3;1
"1327";1839;3;1
"887";822;3;1
"2600";1547;3;3
"1942";2369;2;3
"2068";728;1;1
"110";1264;3;1
"1426";3051;2;1
"476";2738;3;3
"983";1119;1;1
"2466";1955;1;1
"65";1066;1;1
"453";670;1;1
"956";2700;3;3
"222";709;1;1
"1196";2706;3;1
"1121";286;1;1
"812";883;2;1
"2434";2796;1;3
"910";1462;2;1
"820";114;1;1
"3064";598;1;3
"1119";284;3;3
"2729";1399;2;1
"944";148;1;1
"2525";2053;1;1
"3030";173;1;3
"2915";1496;1;1
"1063";2240;2;1
"346";903;1;1
"570";838;3;1
"428";1638;1;1
"3007";467;1;1
"2308";833;3;1
"2630";324;2;1
"2114";74;3;3
"2612";2683;3;3
"3111";3072;1;3
"102";1069;2;1
"2878";762;1;1
"1016";2285;2;1
"321";349;3;1
"1913";2469;1;1
"2527";527;3;1
"150";1449;2;1
"1012";2702;3;1
"1809";2208;3;3
"1845";1667;1;1
"663";387;1;3
"2984";2690;2;1
"2809";2633;3;1
"2529";2734;3;1
"393";2662;1;1
"1823";1936;2;1
"497";2985;1;3
"1490";159;2;3
"2071";206;3;1
"2561";2054;1;1
"3065";599;2;1
"295";1098;3;1
"3045";2357;3;3
"1883";3079;3;3
"1372";39;3;1
"1693";3003;3;1
"644";352;3;3
"1340";374;3;3
"2341";940;3;3
"1003";2313;3;1
"2269";1484;1;1
"445";358;3;1
"2769";1320;3;1
"3012";1516;2;1
"140";1591;1;3
"563";988;1;1
"2084";2925;3;1
"1843";2919;1;1
"1210";1564;2;3
"1575";435;3;1
"307";245;3;3
"1338";2167;3;1
"788";310;3;3
"1528";2039;1;3
"1870";1735;1;1
"2763";2176;3;1
"2164";3094;1;1
"2563";1222;1;1
"2360";3062;3;1
"1803";2203;3;3
"3210";3108;3;1
"1505";609;2;3
"936";2760;1;1
"2866";2649;3;1
"443";1183;3;3
"2857";1822;3;3
"477";2739;2;3
"90";1254;2;1
"1148";2165;2;1
"2422";1821;3;1
"2747";2628;1;1
"1546";434;2;3
"1064";2241;1;1
"1729";1478;1;1
"633";579;1;1
"896";1919;2;1
"1444";2819;2;1
"2485";2478;3;1
"2904";1892;1;1
"2664";1111;2;1
"2139";1388;1;1
"761";2401;3;1
"520";1831;1;1
"772";1601;1;1
"2968";685;2;1
"2392";3119;2;1
"2654";2085;2;1
"296";124;2;3
"2845";1239;3;1
"2876";1828;3;1
"2263";2731;1;1
"23";1062;1;1
"11100";3121;1;1
"1495";2412;1;1
"1669";2615;1;1
"1281";2605;1;1
"689";1832;3;3
"1612";1364;1;1
"2349";2169;2;3
"468";2694;2;1
"1479";522;2;3
"2443";1543;1;1
"2494";2626;3;3
"2433";1540;3;3
"2582";644;1;3
"438";1725;2;1
"2000";1085;2;1
"3121";1303;1;1
"2848";1402;1;1
"50";1973;1;1
"302";130;1;1
"955";823;2;3
"1397";2455;1;1
"770";1599;2;1
"855";555;1;1
"2768";2301;3;1
"2460";2797;3;3
"3042";1154;1;1
"2631";325;3;1
"2374";2370;2;1
"2473";2022;3;3
"3079";698;2;3
"2006";593;2;1
"2528";1842;2;3
"2571";2425;1;1
"74";497;1;1
"1928";165;3;3
"2757";761;3;3
"1694";2910;2;3
"3085";2486;3;3
"1681";8;1;1
"292";895;3;3
"80";1720;1;1
"2814";2638;1;1
"2394";876;3;1
"2786";2857;1;1
"965";1561;1;1
"1577";2613;1;1
"2003";1385;1;3
"2559";1887;1;3
"806";1649;3;3
"1906";1466;1;1
"2191";2766;3;3
"384";818;1;1
"151";1594;1;3
"2723";778;2;3
"650";1071;2;1
"155";1269;1;1
"596";839;1;1
"1288";1107;1;3
"2539";263;2;3
"911";2006;2;3
"107";1263;1;1
"1440";2608;1;3
"1352";1330;3;3
"363";2736;1;1
"1318";563;2;3
"1475";1566;3;3
"163";15;2;1
"1908";65;3;1
"1785";2463;3;3
"1874";2466;3;3
"2888";1912;1;1
"2974";691;1;1
"2220";452;1;3
"1554";2906;3;1
"176";1994;2;3
"3023";2097;2;1
"2603";645;1;1
"1894";1315;3;1
"232";1844;1;1
"1647";929;3;1
"1321";962;1;1
"388";836;1;1
"2540";1702;1;1
"651";306;1;3
"1822";2712;1;1
"1187";2108;3;1
"2016";1684;3;1
"2166";2674;2;1
"1351";186;3;1
"2040";2848;2;3
"1931";447;1;1
"2997";2870;1;1
"2708";1340;3;3
"2538";262;3;3
"2717";3066;3;1
"2465";1954;3;3
"980";1528;2;3
"2752";2275;1;1
"1449";2012;1;1
"1873";2465;1;1
"2332";936;1;1
"2050";2544;3;3
"1634";2460;1;1
"2830";1151;1;1
"2728";1398;1;1
"2807";2252;2;1
"203";2970;3;1
"1956";813;2;3
"2575";2547;1;1
"1889";3058;1;1
"616";357;2;1
"193";1998;3;3
"2616";2433;1;3
"8";1118;1;1
"2287";2078;3;3
"234";768;3;1
"1797";2835;3;1
"1470";2110;2;1
"1922";2341;2;3
"945";1920;3;3
"3004";3020;1;1
"1199";890;1;1
"1229";6;3;1
"122";1986;1;3
"1902";679;1;3
"2576";1752;3;1
"1869";1048;3;3
"159";1762;1;1
"1455";2824;2;1
"405";1792;1;1
"506";2877;3;1
"402";1789;2;1
"2393";875;3;1
"671";359;3;1
"2792";546;3;1
"2970";687;1;1
"2350";1391;1;1
"2219";2929;1;1
"2949";1093;1;1
"2880";2862;3;1
"629";1520;3;3
"2893";2059;1;3
"1995";1679;1;1
"1266";2569;1;1
"2610";2681;3;1
"1562";3053;2;1
"1665";2831;3;1
"1944";1809;3;1
"340";1100;2;3
"1469";634;3;1
"1085";1034;3;1
"1222";957;2;1
"1133";2199;3;1
"117";2960;3;3
"562";987;2;1
"1260";2530;2;1
"2431";942;2;1
"2108";864;1;3
"1042";83;2;1
"3107";345;2;1
"693";842;1;1
"1568";397;3;3
"1264";632;3;1
"691";840;1;3
"1007";280;3;3
"1860";2018;1;1
"3001";2874;2;1
"3081";1830;1;1
"625";2320;1;3
"36";1972;2;1
"2638";215;1;3
"677";181;1;1
"924";2754;2;3
"2618";528;3;1
"3039";2553;1;3
"2325";1949;3;1
"324";1342;1;1
"2535";1012;1;1
"696";2665;1;1
"3097";1893;1;3
"2626";2934;3;3
"2929";331;2;3
"2202";2719;2;3
"3069";1829;3;3
"810";1652;2;1
"2032";2840;2;1
"1658";86;1;3
"2836";1551;3;1
"2399";1877;1;1
"3075";1963;2;3
"1401";607;3;3
"561";986;3;3
"740";1501;2;3
"3087";2100;2;1
"1689";1858;3;3
"1360";27;3;3
"255";669;1;3
"1725";1291;2;3
"2203";2045;1;1
"70";1977;1;1
"2667";1114;3;3
"1742";2115;3;3
"826";2778;1;1
"285";1901;3;3
"1916";2019;1;1
"1418";2989;3;3
"251";665;3;3
"2278";873;1;1
"1060";2406;3;1
"2070";1386;2;3
"308";246;3;3
"2281";2212;3;1
"1950";808;1;1
"1734";1293;2;1
"37";1241;2;1
"1243";3025;3;3
"1186";2763;2;1
"2033";2841;1;3
"2061";1049;1;1
"1762";2121;3;1
"3092";2311;1;3
"364";3097;1;1
"2977";694;3;1
"88";502;2;1
"1886";2619;3;1
"1439";2607;1;3
"2004";1618;1;1
"1059";1965;2;3
"2131";1701;1;1
"421";1631;1;3
"487";1103;1;3
"2936";2229;1;3
"1918";1337;2;1
"1268";926;3;3
"1839";189;1;1
"3033";176;2;3
"467";2000;1;1
"1096";2162;1;1
"1986";1816;3;3
"3006";2483;3;3
"233";767;3;3
